name,num_locations,categories,raw_categories
Anderson's Liquor Beer & Wine,1,Grocery store,Grocery store
Anderson-Buysse Appraisal,1,Real estate appraiser,Real estate appraiser
Anderson-Ragsdale Mortuary,1,Funeral home,Funeral home
Andiamo Restaurant,1,Italian restaurant|restaurant,Italian restaurant|Restaurant
Andra Sina Cosmetics,1,beauty_salon,Beauty salon
Andre Enriques Mortgage Banker - VA Loan Expert,1,Mortgage broker|Mortgage lender,Mortgage broker|Mortgage lender
Andre Hobbs: Military Relocation & Real Estate Services,1,Financial consultant|Military base|Military residence|Real estate agency|Real estate agents|Real estate appraiser|Real estate attorney|Real estate consultant|Veterans center|Veterans organization,Financial consultant|Military base|Military residence|Real estate agency|Real estate agents|Real estate appraiser|Real estate attorney|Real estate consultant|Veterans center|Veterans organization
Andre Rushing Academy,1,School,School
Andrea,1,Shoe store,Shoe store
"Andrea Journagin, MD",1,Obstetrician-gynecologist,Obstetrician-gynecologist
Andrew & Williamson Fresh Produce,1,Produce wholesaler|Shipping company|Store,Produce wholesaler|Shipping company|Store
"Andrew D Gamache, DDS - Fresh Dental",1,Cosmetic dentist|Dental hygienist|Dental implants periodontist|Dentist|Teeth whitening service,Cosmetic dentist|Dental hygienist|Dental implants periodontist|Dentist|Teeth whitening service
Andrew Last Family Counseling,1,Addiction treatment center|Coaching center|Marriage or relationship counselor|Mental health clinic|Mental health service|Psychotherapist,Addiction treatment center|Coaching center|Marriage or relationship counselor|Mental health clinic|Mental health service|Psychotherapist
"Andrew P. Johnson, APC",1,Attorney|Criminal justice attorney|Divorce lawyer|Divorce service|Family law attorney|General practice attorney|Law firm|Legal services|Mediation service|Trial attorney,Attorney|Criminal justice attorney|Divorce lawyer|Divorce service|Family law attorney|General practice attorney|Law firm|Legal services|Mediation service|Trial attorney
"Andrew R Chapokas DMD, MSD",1,Dental implants periodontist|Dentist|Periodontist,Dental implants periodontist|Dentist|Periodontist
"Andrew Tutino, DC",1,Chiropractor,Chiropractor
Andrews Lagasse Branch & Bell LLP,1,Accounting|Attorney,Accounting|Attorney
"Andrus Chiropractic Group, Inc",1,Chiropractor,Chiropractor
Andrés Latin Market,1,Grocery store,Grocery store
Andy's Barber Shop,1,Barber shop,Barber shop
Andy's Orchids inc,1,Plant nursery,Plant nursery
Andy's muffler service,1,auto_repair|Muffler shop,Auto repair shop|Muffler shop
Andy’s smoke shop inc,1,Tobacco shop,Tobacco shop
"Anesthesia Service Medical Group, Inc.",1,Medical group,Medical group
"Angel Hernandez, San Diego Realtor | Mr Famoso",1,Mortgage lender|Real estate agency|Real estate agents|Real estate consultant,Mortgage lender|Real estate agency|Real estate agents|Real estate consultant
Angel Massage,2,Massage spa|Massage therapist,Massage spa|Massage therapist
Angel Nails,1,Facial spa|Massage therapist|beauty_salon|Waxing hair removal service,Facial spa|Massage therapist|Nail salon|Waxing hair removal service
Angel Nails UTC,1,Day spa,Day spa
"Angel Plumbing - Water Heater Expert-Tankless-Installation, Replacement",1,Plumber,Plumber
Angel Shoe,1,Boot repair shop|Leather repair service|Shoe repair shop,Boot repair shop|Leather repair service|Shoe repair shop
Angel Thyme Design,1,Art school,Art school
Angel's Barber Shop,1,Barber shop,Barber shop
Angel's HD Suspension Alignment,1,Auto body shop|Car repair and maintenance|Tire shop,Auto body shop|Car repair and maintenance|Tire shop
Angel's Nail,1,beauty_salon,Nail salon
Angelic Nails and Spa,1,beauty_salon,Nail salon
Angelica Corporation,1,Laundry service|Linens store|Medical supply store,Laundry service|Linens store|Medical supply store
Angelika Film Center & Café - Carmel Mountain,1,coffee_shop|Dinner theater|Movie theater|Takeout Restaurant,Cafe|Dinner theater|Movie theater|Takeout Restaurant
Angelina Terrace,1,Apartment building,Apartment building
Angeline Park,1,park,Park
Angeliz Nails & Spa,1,beauty_salon,Nail salon
Angelo's Burgers,4,American restaurant|Beer garden|Breakfast restaurant|Brunch restaurant|coffee_shop|Family restaurant|Fast food restaurant|Greek restaurant|Hamburger restaurant|Lunch restaurant|restaurant_mexican|restaurant,American restaurant|Beer garden|Breakfast restaurant|Brunch restaurant|Coffee shop|Family restaurant|Fast food restaurant|Greek restaurant|Hamburger restaurant|Lunch restaurant|Mexican restaurant|Restaurant
Angelo's Tailor,1,Tailor,Tailor
Angelo's Towing Chula Vista,1,Towing service,Towing service
Angelo's Towing San Diego,1,Towing service,Towing service
Angelos Towing El Cajon,1,Towing service,Towing service
Angels & Hearts Harajuku Crêperie,1,Crêperie|Dessert restaurant|Dessert shop|Ice cream shop|Takeout Restaurant,Crêperie|Dessert restaurant|Dessert shop|Ice cream shop|Takeout Restaurant
Angels Carpet Care,1,Carpet cleaning service|Janitorial equipment supplier,Carpet cleaning service|Janitorial equipment supplier
Anger-Ease Anger Management,1,Counselor,Counselor
Angie's Hair Salon,1,beauty_salon,Hair salon
Angler's Choice,1,Bait shop|Fishing store|Outdoor sports store|Sporting goods store,Bait shop|Fishing store|Outdoor sports store|Sporting goods store
Angry Chickz - Nashville Hot Chicken,1,Chicken restaurant,Chicken restaurant
Angry Petes Pizza,1,Pizza Takeout|Pizza delivery|Pizza restaurant|restaurant,Pizza Takeout|Pizza delivery|Pizza restaurant|Restaurant
Anh Hong authentic Vietnamese restaurant,1,Vietnamese restaurant,Vietnamese restaurant
Anheuser-Busch Sales of San Diego,1,Beer distributor,Beer distributor
Aniata Cheese Co,1,Distribution service|Food products supplier|Importer,Distribution service|Food products supplier|Importer
Animae,1,Asian fusion restaurant|Fine dining restaurant|restaurant|Steak house,Asian fusion restaurant|Fine dining restaurant|Restaurant|Steak house
Animal & Bird Hospital of Del Mar,1,Animal hospital|Dog day care center|Emergency veterinarian service|Kennel|Veterinarian,Animal hospital|Dog day care center|Emergency veterinarian service|Kennel|Veterinarian
Animal Acupuncture and Rehabilitation Center,1,Acupuncture clinic|Rehabilitation center|Veterinarian,Acupuncture clinic|Rehabilitation center|Veterinarian
Animal Artistry's Grooming & Boarding,1,Pet groomer,Pet groomer
Animal Dermatology Clinic,2,Animal hospital|Veterinarian,Animal hospital|Veterinarian
Animal Emergency Clinic of San Diego,1,Animal hospital|Emergency veterinarian service|Veterinarian|Veterinary pharmacy,Animal hospital|Emergency veterinarian service|Veterinarian|Veterinary pharmacy
Animal Healing Center,1,Holistic medicine practitioner|Veterinarian,Holistic medicine practitioner|Veterinarian
Animal Medical Hospital of Poway,1,Animal hospital|Veterinarian,Animal hospital|Veterinarian
"Animal Outpatient Surgery of San Diego and Blue Sky Veterinary Services, Inc.",1,Veterinarian,Veterinarian
Animal Protection and Rescue League,1,Non-profit organization,Non-profit organization
Animal Salon,1,Pet groomer,Pet groomer
Anita's Mexican Restaurant & Cantina,1,restaurant_mexican|restaurant,Mexican restaurant|Restaurant
"Anita's Mexican Restaurant & Cantina ""El Camino Real""",1,restaurant_mexican,Mexican restaurant
Anjani Integrative Bodywork,1,Massage therapist|Reiki therapist|Wellness program,Massage therapist|Reiki therapist|Wellness program
Ann D. L'Heureux Memorial Dog Park,1,park|poi_attraction,Park|Tourist attraction
Ann Taylor,1,Clothing store|Fashion accessories store|Jewelry store|Shoe store|Women's clothing store,Clothing store|Fashion accessories store|Jewelry store|Shoe store|Women's clothing store
Ann Taylor Factory Store,2,Women's clothing store,Women's clothing store
Ann's Alterations & Tailoring,1,Tailor,Tailor
Anna Kulidjian MD,1,Orthopedic surgeon,Orthopedic surgeon
Anna Tailor Cleaners,1,Clothing alteration service|Dry cleaner|Tailor,Clothing alteration service|Dry cleaner|Tailor
Anna Tailors & Formal Wear,1,Tailor,Tailor
"Anna Techentin, MD - Sharp Rees-Stealy Downtown",1,Family practice physician|General practitioner,Family practice physician|General practitioner
Anna's Family Restaurant,1,American restaurant|Family restaurant,American restaurant|Family restaurant
Anna's Linens Powered by Fallas,1,Home goods store|Linens store|Store,Home goods store|Linens store|Store
Annam Pho & Sandwiches,1,Pho restaurant|Sandwich shop|Vietnamese restaurant,Pho restaurant|Sandwich shop|Vietnamese restaurant
Annapurna Indian Cuisine,1,Halal restaurant|Indian restaurant|South Asian restaurant|Vegetarian restaurant,Halal restaurant|Indian restaurant|South Asian restaurant|Vegetarian restaurant
Annapurna Indian Cuisine - Carlsbad,1,Indian restaurant|South Asian restaurant,Indian restaurant|South Asian restaurant
Annex Brands Inc,1,Corporate office,Corporate office
Annick Selby Insurance Services,1,Insurance agency,Insurance agency
Annie Cleaner,1,Clothing alteration service|Dry cleaner,Clothing alteration service|Dry cleaner
Annie's Cafe and Deli,1,coffee_shop|Deli,Cafe|Deli
Annie's Canyon,1,Hiking area|poi_attraction,Hiking area|Tourist attraction
Annie's Canyon Trail,1,Hiking area|poi_attraction,Hiking area|Tourist attraction
Annie's Canyon Trailhead,1,Hiking area|poi_attraction,Hiking area|Tourist attraction
Annie's Hair Club,1,beauty_salon,Beauty salon|Hair salon
"Annie's Quilting Den, LLC",1,Fabric store|Quilt shop|Sewing machine repair service,Fabric store|Quilt shop|Sewing machine repair service
Annies Canyon Trailhead,1,Hiking area,Hiking area
Anny Nails,1,beauty_salon,Nail salon
Anny's Alterations,1,Shopping mall,Shopping mall
Anny's Fine Burger,1,Fast food restaurant|Hamburger restaurant,Fast food restaurant|Hamburger restaurant
Anny's Fine Burgers,1,American restaurant|Chicken wings restaurant|Hamburger restaurant|Hot dog restaurant,American restaurant|Chicken wings restaurant|Hamburger restaurant|Hot dog restaurant
Anocote Powder,1,Powder coating service,Powder coating service
Another Side Of San Diego Tours,1,Bus tour agency|Sightseeing tour agency|Tour agency|Tour operator|poi_attraction|Travel agency|Visitor center,Bus tour agency|Sightseeing tour agency|Tour agency|Tour operator|Tourist attraction|Travel agency|Visitor center
Ansei Postpartum Center,1,Birth center,Birth center
Ansley Realty,1,Real estate agency,Real estate agency
Answer California,1,Call center|Telephone answering service,Call center|Telephone answering service
Antac,1,Insulation contractor|Pest control service,Insulation contractor|Pest control service
Antbusters,1,Animal control service|Animal rescue service|Animals|Pest control service|Wildlife rescue service,Animal control service|Animal rescue service|Animals|Pest control service|Wildlife rescue service
Anthem Market.Deli Restaurant,1,Deli,Deli
Anthem North Park,1,restaurant|Vegan restaurant,Restaurant|Vegan restaurant
Anthony Delellis Law Firm,1,Attorney|Personal injury attorney|Social security attorney,Attorney|Personal injury attorney|Social security attorney
Anthony Gilham Law Office,1,Attorney referral service,Attorney referral service
Anthony Hong Tae Kwon Do,1,Martial arts school,Martial arts school
"Anthony R Cardoza, DDS",1,Dentist,Dentist
"Anthony W. Imbimbo, CPA, APC",1,Accounting firm|Bookkeeping service|Business management consultant|Certified public accountant|Tax preparation service,Accounting firm|Bookkeeping service|Business management consultant|Certified public accountant|Tax preparation service
"Anthony Whitney, MD",1,Family practice physician,Family practice physician
Anthony's Fish Grotto,1,Seafood restaurant,Seafood restaurant
Anthony's Plaza,1,Shopping mall,Shopping mall
Anthony's Shoe Repair,3,Boot repair shop|Leather repair service|Luggage repair service|Shoe repair shop,Boot repair shop|Leather repair service|Luggage repair service|Shoe repair shop
Anthropologie,3,Beauty supply store|Fashion accessories store|Furniture store|Home goods store|Women's clothing store,Beauty supply store|Fashion accessories store|Furniture store|Home goods store|Women's clothing store
Anti Defamation League,1,Non-profit organization,Non-profit organization
Antica Trattoria,1,Fine dining restaurant|Italian restaurant|Northern Italian restaurant|Southern Italian restaurant|Wine bar,Fine dining restaurant|Italian restaurant|Northern Italian restaurant|Southern Italian restaurant|Wine bar
Antique Row Cafe,1,American restaurant|coffee_shop,American restaurant|Cafe
Antique Warehouse,1,Antique store,Antique store
Antojitos Colombianos Restaurant,1,Caribbean restaurant|Colombian restaurant|Ethnic restaurant|Latin American restaurant|restaurant|South American restaurant,Caribbean restaurant|Colombian restaurant|Ethnic restaurant|Latin American restaurant|Restaurant|South American restaurant
Antojitos Del Tepeyac,1,restaurant_mexican,Mexican restaurant
Antojitos Tenampa,1,restaurant_mexican,Mexican restaurant
Antojitos Tepeyac,1,restaurant_mexican,Mexican restaurant
"Anton J Bisbas, DDS",1,Orthodontist,Orthodontist
Antonelli's Deli,1,Deli|restaurant|Sandwich shop|Takeout Restaurant,Deli|Restaurant|Sandwich shop|Takeout Restaurant
Antonio Taylor Shop,1,Clothing alteration service,Clothing alteration service
Antonio's Auto Care,1,auto_repair|Auto tune up service|Mechanic|Smog inspection station|Transmission shop,Auto repair shop|Auto tune up service|Mechanic|Smog inspection station|Transmission shop
Antonio's Mexican Food,1,Fast food restaurant|restaurant_mexican,Fast food restaurant|Mexican restaurant
"Antonyan Miranda, LLP",1,Divorce lawyer|Family law attorney,Divorce lawyer|Family law attorney
Antójate Ice Cream,1,Ice cream shop,Ice cream shop
Anu Simh - Nine Arms of Wellness,1,Health consultant|Weight loss service,Health consultant|Weight loss service
"Anupam Garg, MD, MPH",2,Women's health clinic,Women's health clinic
Anwar El Cajon Market,1,restaurant,Restaurant
Any Budget Printing & Mailing,1,Banner store|Bookbinder|Commercial printer|Print shop,Banner store|Bookbinder|Commercial printer|Print shop
Anytime Fitness,3,Gym,Gym
Anytime Fitness Ramona,1,Gym|Personal trainer|Weight loss service|Weightlifting area|Yoga studio,Gym|Personal trainer|Weight loss service|Weightlifting area|Yoga studio
"Anytyme Plumbing, Heating & Air",1,Air conditioning contractor|Air conditioning repair service|Drainage service|HVAC contractor|Heating contractor|Plumber,Air conditioning contractor|Air conditioning repair service|Drainage service|HVAC contractor|Heating contractor|Plumber
Anywhere Bicycle Repair,1,Bicycle Shop|Bicycle repair shop,Bicycle Shop|Bicycle repair shop
Aolani Catamaran Sailing,1,Boat rental service|Boat tour agency|Event venue|Wedding venue|Whale watching tour agency,Boat rental service|Boat tour agency|Event venue|Wedding venue|Whale watching tour agency
Apadana Cleaners,1,Dry cleaner,Dry cleaner
Apartment Finders,1,Apartment rental agency|Roommate referral service,Apartment rental agency|Roommate referral service
Apcom Computer Consultants Inc,1,Computer consultant,Computer consultant
Apex Contracting & Restoration,1,Asbestos testing service|Business center|Fire damage restoration service|Water damage restoration service,Asbestos testing service|Business center|Fire damage restoration service|Water damage restoration service
Apex Smog Check - Kwik Smog,1,Smog inspection station,Smog inspection station
Apex Wild Seafood,1,Seafood wholesaler,Seafood wholesaler
Aphrodite's Closet,1,Clothing store|Costume store|Fashion designer|Festival|Women's clothing store,Clothing store|Costume store|Fashion designer|Festival|Women's clothing store
Aplus Electronics,1,Cell phone store|Computer repair service|Electronics repair shop|Electronics store,Cell phone store|Computer repair service|Electronics repair shop|Electronics store
Apogee Body Piercing,1,Body piercing shop,Body piercing shop
Apogee Tattoo Parlour,1,Body piercing shop|Tattoo shop,Body piercing shop|Tattoo shop
Apollo Depot,1,Army & navy surplus shop,Army & navy surplus shop
Apollo Medical Extrusion Technologies,1,Store,Store
Apollo Spa,1,Chiropractor|Foot bath|Foot care|Foot massage parlor|Massage spa|Massage therapist|Physical therapist|Reflexologist|Thai massage therapist,Chiropractor|Foot bath|Foot care|Foot massage parlor|Massage spa|Massage therapist|Physical therapist|Reflexologist|Thai massage therapist
Apollo Spa & Wellness,1,Facial spa|Lymph drainage therapist|Massage therapist|Skin care clinic,Facial spa|Lymph drainage therapist|Massage therapist|Skin care clinic
Apollo Sprayers HVLP,1,Corporate office,Corporate office
Apollo Tires & Brake,1,auto_repair,Auto repair shop
Apollo's Liquor Market,1,Liquor store,Liquor store
Apollonia Greek Bistro,1,bar|European restaurant|Greek restaurant|Lebanese restaurant|Mediterranean restaurant|Middle Eastern restaurant,Bar|European restaurant|Greek restaurant|Lebanese restaurant|Mediterranean restaurant|Middle Eastern restaurant
Apostolic Assembly,1,Church,Church
Apostolic Assembly Oceanside / Fuente de Alabanza,1,Religious organization,Religious organization
Apostolic Assembly-The Faith,1,Church,Church
Apostolic Christian Church Nazarene,1,Church,Church
Apostolic Temple,1,Apostolic church,Apostolic church
Apothecary R,1,Homeopath|Naturopathic practitioner,Homeopath|Naturopathic practitioner
Apothekare Medical & Recreational Dispensary of San Diego,1,Alternative medicine practitioner|Cannabis store|Herb shop|Holistic medicine practitioner|Medical clinic|Naturopathic practitioner|Pain management physician|Pharmacy,Alternative medicine practitioner|Cannabis store|Herb shop|Holistic medicine practitioner|Medical clinic|Naturopathic practitioner|Pain management physician|Pharmacy
Apotheque Lifestyle Spa,1,Acupuncturist|Day spa|beauty_salon|Massage spa|Massage therapist|Yoga studio,Acupuncturist|Day spa|Hair salon|Massage spa|Massage therapist|Yoga studio
"App Studio 35, Inc.",1,Corporate office,Corporate office
AppTech Corp.,1,Corporate office,Corporate office
AppeThai,1,Asian restaurant|restaurant|Thai restaurant,Asian restaurant|Restaurant|Thai restaurant
Appetite,1,restaurant|Salad shop|Sandwich shop,Restaurant|Salad shop|Sandwich shop
Apple Box Wooden Toys,1,Gift shop|Toy store,Gift shop|Toy store
Apple Carlsbad,1,Computer repair service|Electronics store|Mobile phone repair shop,Computer repair service|Electronics store|Mobile phone repair shop
Apple Dental,1,Dental clinic|Dentist,Dental clinic|Dentist
Apple Fashion Valley,1,Computer repair service|Electronics store|Mobile phone repair shop,Computer repair service|Electronics store|Mobile phone repair shop
Apple Glass Window Tinting,1,Auto glass shop|Car alarm supplier|Car detailing service|Window tinting service,Auto glass shop|Car alarm supplier|Car detailing service|Window tinting service
Apple North County,1,Computer repair service|Electronics store|Mobile phone repair shop,Computer repair service|Electronics store|Mobile phone repair shop
Apple Otay Ranch,1,Computer repair service|Electronics store|Mobile phone repair shop,Computer repair service|Electronics store|Mobile phone repair shop
Apple Tree Market,2,Grocery store|Supermarket,Grocery store|Supermarket
Apple Tree Market & Liquor,1,Grocery store|Liquor store,Grocery store|Liquor store
Apple Tree Supermarket,1,Grocery store|Supermarket,Grocery store|Supermarket
Apple UTC,1,Computer repair service|Electronics store|Mobile phone repair shop,Computer repair service|Electronics store|Mobile phone repair shop
AppleOne Employment Services,1,Employment agency|Employment center|Recruiter|Temp agency,Employment agency|Employment center|Recruiter|Temp agency
Applebee's,1,restaurant,Restaurant
Applebee's Grill + Bar,7,American restaurant|Bar & grill|Diner|Family restaurant|Hamburger restaurant|restaurant|Steak house|Traditional American restaurant,American restaurant|Bar & grill|Diner|Family restaurant|Hamburger restaurant|Restaurant|Steak house|Traditional American restaurant
Appliance Alley,1,Appliance parts supplier|Appliance store,Appliance parts supplier|Appliance store
Appliance PRO Repair,1,Appliance repair service,Appliance repair service
Appliance Parts Company,3,Appliance parts supplier|Coin operated laundry equipment supplier|Janitorial equipment supplier|Plumbing supply store|RV supply store|Washer & dryer store,Appliance parts supplier|Coin operated laundry equipment supplier|Janitorial equipment supplier|Plumbing supply store|RV supply store|Washer & dryer store
Appliance Repair LLC,1,Appliance repair service|Refrigerator repair service|Washer & dryer repair service,Appliance repair service|Refrigerator repair service|Washer & dryer repair service
Appliance Repair of Coronado,1,Appliance store,Appliance store
Appliance Station,1,Appliance store|Appliances customer service|Refrigerator store|Washer & dryer store,Appliance store|Appliances customer service|Refrigerator store|Washer & dryer store
Appliance and More,1,Appliance repair service,Appliance repair service
Apria Healthcare,1,Home health care service|Medical supply store|Oxygen equipment supplier,Home health care service|Medical supply store|Oxygen equipment supplier
Apricot Yarn & Supply,1,Yarn store,Yarn store
April Tax Services,1,Tax preparation,Tax preparation
Apro,1,auto_repair|Gas station,Auto repair shop|Gas station
Apsara's Salon & Day Spa,1,Day spa|Massage therapist,Day spa|Massage therapist
Aptive Environmental,1,Pest control service,Pest control service
Aqua Adventures Mission Bay Kayaks & Stand Up Paddleboards Rental & Sales,1,Boat rental service|Canoe & kayak rental service|Canoe & kayak store|Canoe & kayak tour agency|Outdoor sports store|Sporting goods store|Water sports equipment rental service,Boat rental service|Canoe & kayak rental service|Canoe & kayak store|Canoe & kayak tour agency|Outdoor sports store|Sporting goods store|Water sports equipment rental service
Aqua Clean Car Wash,1,Car detailing service|Car wash|Chauffeur service|Oil change service,Car detailing service|Car wash|Chauffeur service|Oil change service
Aqua Clean Express,1,Car wash,Car wash
Aqua Clean Express Car Wash,1,Car detailing service|Car wash,Car detailing service|Car wash
"Aqua Clear Water Treatment Specialists, Inc.",1,Water purification company,Water purification company
Aqua Day Spa,1,Day spa,Day spa
Aqua Magic Pools,1,Landscape designer|Landscaper|Swimming pool contractor,Landscape designer|Landscaper|Swimming pool contractor
Aqua Paradise,1,Hot tub repair service|Hot tub store,Hot tub repair service|Hot tub store
Aqua Paradise San Diego,1,Hot tub repair service|Hot tub store,Hot tub repair service|Hot tub store
Aqua Pool & Spa Center,1,Pool cleaning service|Swimming pool|Swimming pool repair service|Swimming pool supply store,Pool cleaning service|Swimming pool|Swimming pool repair service|Swimming pool supply store
Aqua Pros Swim School,1,Swimming|Swimming instructor|Swimming school,Swimming|Swimming instructor|Swimming school
Aqua SD,1,Tropical fish store,Tropical fish store
Aqua-Tots Swim Schools Otay Ranch,1,Baby swimming school|Swimming instructor|Swimming school,Baby swimming school|Swimming instructor|Swimming school
AquaVie Fitness + Wellness Club,1,Fitness center|Gym|Personal trainer|Sauna|Spa|Swimming pool|Yoga studio,Fitness center|Gym|Personal trainer|Sauna|Spa|Swimming pool|Yoga studio
Aquadyne Computer Corporation,1,Electronic engineer,Electronic engineer
Aquaholic Water Store,1,Bottled water supplier,Bottled water supplier
Aquamarine Seafood Brokerage,1,Seafood wholesaler,Seafood wholesaler
Aquamarine Villas,1,Hotel|Indoor lodging|Resort hotel,Hotel|Indoor lodging|Resort hotel
Aquaria: World of Fishes,1,Aquarium,Aquarium
Aquarium Fish Depot,1,Tropical fish store,Tropical fish store
Aquarius Bar & Grille,1,Bar & grill,Bar & grill
Aquarius Marine & Storage,1,Boat repair shop|RV storage facility|Self-storage facility|Storage facility|Trailer repair shop,Boat repair shop|RV storage facility|Self-storage facility|Storage facility|Trailer repair shop
Aquatech Raingutters & Soltech Patio Covers,1,Gutter cleaning service|Sheet metal contractor,Gutter cleaning service|Sheet metal contractor
Aquatera Apartment Homes,1,Apartment building,Apartment building
Aquatic Aviation,1,Boat rental service|Sporting goods store|Water sports equipment rental service,Boat rental service|Sporting goods store|Water sports equipment rental service
Aquatic Warehouse,1,Aquarium shop|Pet store|Pond fish supplier|Pond supply store|Tropical fish store,Aquarium shop|Pet store|Pond fish supplier|Pond supply store|Tropical fish store
Aquatica San Diego,1,Water park,Water park
Aqui Es Texcoco,1,restaurant_mexican,Mexican restaurant
Aquitania Ray E MD,1,Doctor,Doctor
"Ara Dikranian, MD",1,Rheumatologist,Rheumatologist
Aragon Plaza Shopping Center,1,Shopping mall,Shopping mall
Aramark - Office Coffee & Water Services,1,Beverage distributor|Coffee machine supplier|Vending machine supplier|Water cooler supplier|Water filter supplier,Beverage distributor|Coffee machine supplier|Vending machine supplier|Water cooler supplier|Water filter supplier
Aramsco (formerly Interlink Supply),1,Building restoration service|Cleaning products supplier|Concrete product supplier|Distribution service|Education center|Equipment rental agency|Industrial equipment supplier|Janitorial equipment supplier|Polythene and plastic sheeting supplier|Safety equipment supplier,Building restoration service|Cleaning products supplier|Concrete product supplier|Distribution service|Education center|Equipment rental agency|Industrial equipment supplier|Janitorial equipment supplier|Polythene and plastic sheeting supplier|Safety equipment supplier
Aran Cucine,1,Appliance store|Bathroom remodeler|Cabinet maker|Kitchen remodeler,Appliance store|Bathroom remodeler|Cabinet maker|Kitchen remodeler
Aranitas Yarn,1,Yarn store,Yarn store
Arbolitos Sports Fields,1,park,Park
Arbor Hills,1,Apartment complex,Apartment complex
Arbor Parking Structure,1,Parking garage,Parking garage
Arbor San Diego,1,Clothing store|Skateboard shop|Snowboard shop,Clothing store|Skateboard shop|Snowboard shop
Arbor Village Apartments,1,Apartment building|Apartment complex,Apartment building|Apartment complex
Arby's,9,American restaurant|Deli|Family restaurant|Fast food restaurant|Sandwich shop|Takeout Restaurant,American restaurant|Deli|Family restaurant|Fast food restaurant|Sandwich shop|Takeout Restaurant
Arc Roofing,1,Roofing contractor,Roofing contractor
Arc of San Diego,1,Donations center,Donations center
Arc-Zone.com Pro Welding & Metal Fabrication Tools,1,Welding supply store,Welding supply store
ArcLight Cinemas - La Jolla,1,American restaurant|bar|Movie theater,American restaurant|Bar|Movie theater
Arcadia Massage Spa,1,Massage spa|Massage therapist,Massage spa|Massage therapist
Arcadia at StoneCrest Village Apartment Homes,1,Apartment building|Apartment complex|Furnished apartment building|Housing complex|Student housing center,Apartment building|Apartment complex|Furnished apartment building|Housing complex|Student housing center
Arcadian Property Group,1,Condominium rental agency,Condominium rental agency
Arcana Brewing Company,1,Brewery,Brewery
Arcana Empothecary,1,Homeopath,Homeopath
Arce Engines,1,Auto machine shop|Auto parts store|auto_repair|Engine rebuilding service,Auto machine shop|Auto parts store|Auto repair shop|Engine rebuilding service
Arch Health Medical Group - Valley Parkway,1,Family practice physician|Medical group,Family practice physician|Medical group
Architectural Film Design,1,Plumber,Plumber
Architectural Salvage of San Diego,1,Amish furniture store|Architectural salvage store,Amish furniture store|Architectural salvage store
Archive Bridal,1,Bridal shop|Wedding store,Bridal shop|Wedding store
Archway Lounge,1,Cocktail bar,Cocktail bar
Archwood Home,1,Flooring store|Interior designer,Flooring store|Interior designer
Arco,2,Gas station,Gas station
Arctic Trader,1,Gift shop,Gift shop
Arden Nails & Spa,1,beauty_salon,Nail salon
Ardillo's Cards,1,Hobby store|Sports card store,Hobby store|Sports card store
Area 51 Ultra Lounge,1,bar|Hookah bar|Night club|restaurant,Bar|Hookah bar|Night club|Restaurant
Arely French Bakery Cafe,1,Bakery|Breakfast restaurant|coffee_shop|Wedding bakery,Bakery|Breakfast restaurant|Cafe|Wedding bakery
Arena Eyeworks Optometry,1,Optometrist,Optometrist
Arenson Office Furniture,2,Office furniture store,Office furniture store
Ares Armor - National City,1,Sporting goods store,Sporting goods store
Areta Crowell Center,1,Mental health service|Non-profit organization,Mental health service|Non-profit organization
Arezzo Salon & Spa,1,beauty_salon|Day spa|Massage therapist,Beauty salon|Day spa|Hair salon|Massage therapist|Nail salon
Argyle Steakhouse,1,bar|Steak house,Bar|Steak house
Arhaus,1,Furniture store|Home goods store,Furniture store|Home goods store
Aria,1,Condominium complex,Condominium complex
"Aria Bridal, Formal & Tuxedo",1,Bridal shop|Dress store|Dressmaker|Formal wear store|Tuxedo shop,Bridal shop|Dress store|Dressmaker|Formal wear store|Tuxedo shop
Aria Restaurant,1,restaurant,Restaurant
Ariana Kabob House,1,Afghani restaurant|restaurant,Afghani restaurant|Restaurant
Ariana Produce & Cuisine,1,Afghani restaurant|Asian grocery store|Produce market,Afghani restaurant|Asian grocery store|Produce market
Ariana Restaurant,1,New American restaurant,New American restaurant
Arigato Restaurant,1,Japanese restaurant|restaurant|Sushi restaurant,Japanese restaurant|Restaurant|Sushi restaurant
Arise Acupuncture,1,Acupuncture clinic|Herbalist,Acupuncture clinic|Herbalist
Arise Christian Church,1,Non-denominational church,Non-denominational church
AristaMD,1,Technical service,Technical service
Aritzia,1,Clothing store|Fashion accessories store|Women's clothing store,Clothing store|Fashion accessories store|Women's clothing store
Arizmendi Law Firm,1,Bankruptcy attorney|Estate planning attorney|Family law attorney|General practice attorney|Legal services,Bankruptcy attorney|Estate planning attorney|Family law attorney|General practice attorney|Legal services
Arizona Cafe,1,bar|Bar & grill,Bar|Bar & grill
Arizona Chinese Restaurant,1,Chinese restaurant,Chinese restaurant
Arizona Leather Interiors,1,Furniture store|Sofa store,Furniture store|Sofa store
Arizona Tile,3,Flooring store|Tile contractor,Flooring store|Tile contractor
Ark Animal Hospital,1,Animal hospital|Veterinarian,Animal hospital|Veterinarian
Ark Antiques,1,Antique furniture store|Charity|Consignment shop|Non-profit organization,Antique furniture store|Charity|Consignment shop|Non-profit organization
Arlington Apartment Hotel,1,Furnished apartment building|Hotel,Furnished apartment building|Hotel
Arlo,1,restaurant,Restaurant
